Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
109,Huawei,nova 5,2019,June","Available. Released 2019,June",157.4 x 74.8 x 7.3 mm (6.20 x 2.94 x 0.29 in),171 g (6.03 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
110,Huawei,nova 5i,2019,June","Available. Released 2019,June",159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
111,Huawei,Y9 Prime (2019),2019,August 01","Available. Released 2019,August 05",163.5 x 77.3 x 8.9 mm (6.44 x 3.04 x 0.35 in),196.8 g (6.95 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
112,Huawei,P20 lite (2019),2019,June","Available. Released 2019,July",159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in),178 g (6.28 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
113,Huawei,P Smart Z,2019,May","Available. Released 2019,June",163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),196.8 g (6.95 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
114,Huawei,Mate 20 X (5G),2019,May","Available. Released 2019,July",174.6 x 85.4 x 8.4 mm (6.87 x 3.36 x 0.33 in),233 g (8.22 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
115,Huawei,Y5 (2019),2019,April 24","Available. Released 2019,April 24",147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146 g (5.15 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
116,Huawei,Ascend Plus,2014,April. Released 2014,April",Discontinued,125 x 63.5 x 12.7 mm (4.92 x 2.5 x 0.5 in),136.1 g (4.80 oz),Mini-SIM,TFT capacitive touchscreen,4.0 inches,
117,Huawei,MediaPad 7 Youth,2013,July. Released 2013,August",Discontinued,193.4 x 120.6 x 9.9 mm (7.61 x 4.75 x 0.39 in),350 g (12.35 oz),MIni-SIM,TFT capacitive touchscreen,"7.0 inches,137.9 cm (~59.1% screen-to-body ratio)"
118,Huawei,G7002,2010,June. Released 2010,June",Discontinued,98.4 x 51.3 x 13.6 mm (3.87 x 2.02 x 0.54 in),95 g (3.35 oz),Mini-SIM,"TFT resistive touchscreen,65K colors",
119,i-mate,PDA2,2004,Q4",Discontinued,130 x 69 x 19 mm (5.12 x 2.72 x 0.75 in),190 g (6.70 oz),Mini-SIM,"TFT resistive touchscreen,65K colors","3.5 inches,53 x 71 mm
120,i-mate,Smartphone2,2004,Q1",Discontinued,"120.4 x 50.1 x 24.4 mm,105 cc (4.74 x 1.97 x 0.96 in)",130 g (4.59 oz),Mini-SIM,"TFT,65K colors","2.2 inches
121,i-mate,Smartphone,2004,Q1",Discontinued,"120 x 50 x 23.5 mm,105 cc (4.72 x 1.97 x 0.93 in)",130 g (4.59 oz),Mini-SIM,"TFT,65K colors","2.2 inches
122,i-mobile,510,2006,April. Released 2006,April",Discontinued,99 x 44 x 15 mm (3.90 x 1.73 x 0.59 in),75 g (2.65 oz),Mini-SIM,"TFT,256K colors",
123,i-mobile,315,2007,November. Released 2007,November",Discontinued,98 x 46.3 x 15.1 mm (3.86 x 1.82 x 0.59 in),80 g (2.82 oz),Mini-SIM,"TFT,256K colors","1.5 inches
124,Icemobile,Gravity 4.0,2014,November",Discontinued,140.4 x 75.8 x 16.3 mm (5.53 x 2.98 x 0.64 in),316 g (11.15 oz),Micro-SIM,IPS LCD capacitive touchscreen,"4.02 inches,44.5 cm (~41.8% screen-to-body ratio)","480 x 854 pixels
125,Icemobile,Prime 5.5,2014,August. Released 2014,August",Discontinued,152.5 x 77 x 8.6 mm (6.00 x 3.03 x 0.34 in),,Dual SIM,IPS LCD capacitive touchscreen,"5.46 inches,82.2 cm (~70.0% screen-to-body ratio)"
126,Icemobile,Prime 4.5,2014,January. Released 2014,January",Discontinued,133.5 x 67 x 9.5 mm (5.26 x 2.64 x 0.37 in),,Dual SIM,IPS LCD capacitive touchscreen,"4.46 inches,54.8 cm (~61.3% screen-to-body ratio)"
127,Icemobile,Gravity Pro,2013,Discontinued,139.7 x 76.4 x 17.6 mm (5.5 x 3.01 x 0.69 in),240 g (8.47 oz),Yes,IPS LCD capacitive touchscreen,"4.02 inches,44.5 cm (~41.7% screen-to-body ratio)","480 x 854 pixels,16:9 ratio (~244 ppi density)"
128,Icemobile,Quattro,2012,November. Released 2012,November",Discontinued,104 x 54 x 10.3 mm (4.09 x 2.13 x 0.41 in),,Dual SIM (Mini-SIM),TFT,"2.3 inches,16.4 cm (~29.2% screen-to-body ratio)"
129,Infinix,Hot 9 Play,2020,April 09","Available. Released 2020,April 09",171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
130,Infinix,Note 7,2020,April 06","Coming soon. Exp. release 2020,June",173.4 x 79 x 8.8 mm (6.83 x 3.11 x 0.35 in),206 g (7.27 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
131,Infinix,Note 7 Lite,2020,April 06","Coming soon. Exp. release 2020,June",165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),185 g (6.53 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
132,Infinix,Hot 9 Pro,2020,May 29","Available. Released 2020,June 05",165 x 76.8 x 8.7 mm (6.50 x 3.02 x 0.34 in),185 g (6.53 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
133,Infinix,Hot 9,2020,March 23","Available. Released 2020,April",165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),185 g (6.53 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
134,Infinix,S5 Pro (16+32),2020,March 06","Available. Released 2020,April",162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),195 g (6.88 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
135,Infinix,S5 Pro (48+40),2020,March 06","Available. Released 2020,April",162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),195 g (6.88 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
136,Infinix,S5 lite,2019,November","Available. Released 2019,November",164 x 76 x 7.9 mm (6.46 x 2.99 x 0.31 in),178 g (6.28 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
137,Infinix,Smart 4c,2019,November","Available. Released 2019,December",167 x 76 x 8.3 mm (6.57 x 2.99 x 0.33 in),183 g (6.46 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
138,Infinix,Hot 8 Lite,2019,October","Available. Released 2019,October",165 x 76.3 x 8.7 mm (6.50 x 3.00 x 0.34 in),175 g (6.17 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
139,Infinix,Hot 8,2019,September 04","Available. Released 2019,September",165 x 76.3 x 8.7 mm (6.50 x 3.00 x 0.34 in),179 g (6.31 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
140,Infinix,Smart3 Plus,2019,April","Available. Released 2019,April",157 x 76 x 7.8 mm (6.18 x 2.99 x 0.31 in),148 g (5.22 oz),"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors"
141,Infinix,S4,2019,April","Available. Released 2019,April",156 x 75 x 7.9 mm (6.14 x 2.95 x 0.31 in),154 g (5.43 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
142,Infinix,Hot 7 Pro,2019,March","Available. Released 2019,March",155 x 74.8 x 8 mm (6.10 x 2.94 x 0.31 in),165 g (5.82 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
143,Innostream,INNO A20,2005,July",Discontinued,93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in),105 g (3.70 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
144,Innostream,INNO 75,2004,Q2. Released 2004",Discontinued,82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in),80 g (2.82 oz),Mini-SIM,"TFT,65K colors",,"128 x 128 pixels
145,Innostream,INNO 79,2004,Q1",Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
146,Innostream,INNO 78,2004,Q1",Discontinued,84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in),85 g (3.00 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
147,Innostream,INNO 30,2004,Q1",Discontinued,82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),76 g (2.68 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
148,Innostream,INNO 55,2004,Q2",Discontinued,85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in),88 g (3.10 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
149,Innostream,INNO 70,2004,Q1",Discontinued,90 x 52 x 22 mm (3.54 x 2.05 x 0.87 in),88 g (3.10 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
150,Innostream,INNO 99,2004,Q1",Discontinued,87 x 46 x 24 mm (3.43 x 1.81 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
151,Innostream,INNO 120,2003,Q4",Discontinued,80 x 44 x 23.3 mm (3.15 x 1.73 x 0.92 in),81 g (2.86 oz),Mini-SIM,"LCD,65K colors",,"128 x 144 pixels
152,Innostream,INNO 110,2003,Q4",Discontinued,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),80 g (2.82 oz),Mini-SIM,"LCD,65K colors",,"128 x 144 pixels
153,Innostream,INNO 100,2003,Q4",Discontinued,80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in),80 g (2.82 oz),Mini-SIM,"LCD,65K colors",,"128 x 144 pixels
154,Kyocera,TG 200,2000,Discontinued,120 x 40 x 16 mm (4.72 x 1.57 x 0.63 in),75 g (2.65 oz),Mini-SIM,Monochrome graphic,,5 lines,V1,
155,Lava,Z71,2020,January","Available. Released 2020,January",145.6 x 70.9 x 9 mm (5.73 x 2.79 x 0.35 in),150 g (5.29 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
156,Lava,Iris Fuel F2,2016,March","Available. Released 2016,March",142.5 x 72.5 x 10.5 mm (5.61 x 2.85 x 0.41 in),,"Dual SIM (Micro-SIM,dual stand-by)","LCD capacitive touchscreen,16M colors"
157,Lenovo,M10 FHD REL,2020,January 24","Available. Released 2020,January 24",,520 g (1.15 lb),Yes,"IPS LCD capacitive touchscreen,16M colors","10.1 inches
158,Lenovo,Yoga Smart Tab,2019,October","Available. Released 2019,October",242mm x 166mm x 8.5-24mm,580 g (1.28 lb),No,"IPS LCD capacitive touchscreen,16M colors","10.1 inches
159,Lenovo,K10 Plus,2019,September 23","Available. Released 2019,September 30",158.3 x 75.8 x 8.3 mm (6.23 x 2.98 x 0.33 in),172 g (6.07 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
160,Lenovo,K10 Note,2019,September 05","Available. Released 2019,September 16",156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in),164 g (5.78 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
161,Lenovo,A6 Note,2019,September","Available. Released 2019,September",154.7 x 72.9 x 9.2 mm (6.09 x 2.87 x 0.36 in),172 g (6.07 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
162,Lenovo,Tab M8 (FHD),2019,September","Available. Released 2019,October",198.2 x 122.6 x 8.2 mm (7.80 x 4.83 x 0.32 in),305 g (10.76 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","8.0 inches
163,Lenovo,Tab M8 (HD),2019,September","Available. Released 2019,October",199.1 x 121.8 x 8.2 mm (7.84 x 4.80 x 0.32 in),305 g (10.76 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","8.0 inches
164,Lenovo,Tab M7,2019,September","Available. Released 2019,October",176.3 x 102.9 x 8.3 mm (6.94 x 4.05 x 0.33 in),236 g (8.32 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","7.0 inches
165,Lenovo,Z6,2019,July 04","Available. Released 2019,July 09",157 x 74.5 x 8 mm (6.18 x 2.93 x 0.31 in),159 g (5.61 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
166,Lenovo,Z6 Pro 5G,2019,June 26","Available. Released 2019,November 15",157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in),185 g (6.53 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
167,Lenovo,Z6 Youth,2019,May","Available. Released 2019,May",156.6 x 74.3 x 7.9 mm (6.17 x 2.93 x 0.31 in),164 g (5.78 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
168,Lenovo,Z6 Pro,2019,April 23","Available. Released 2019,April 23",157.5 x 74.6 x 8.7 mm (6.20 x 2.94 x 0.34 in),185 g (6.53 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
169,Lenovo,Yoga Tab 3 10,2016,Available. Released 2016,253 x 185 x 9.5 mm (9.96 x 7.28 x 0.37 in),655 g (Wi-Fi)/ 665 g (3G/LTE) (1.40 lb),Micro-SIM,"IPS LCD capacitive touchscreen,16M colors","10.1 inches,295.8 cm (~63.2% screen-to-body ratio)","800 x 1280 pixels
170,LG,Q61,2020,May 21","Available. Released 2020,May 29",164.5 x 77.5 x 8.3 mm (6.48 x 3.05 x 0.33 in),,Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.53 inches
171,LG,Stylo 6,2020,May 20","Available. Released 2020,May 20",171.2 x 77.7 x 8.6 mm (6.74 x 3.06 x 0.34 in),219 g (7.72 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.8 inches
172,LG,Velvet,2020,May 07","Available. Released 2020,May 15",167.2 x 74.1 x 7.9 mm (6.58 x 2.92 x 0.31 in),180 g (6.35 oz),"Dual SIM (Nano-SIM,dual stand-by)","P-OLED capacitive touchscreen,16M colors"
173,LG,Folder 2,2020,April 14","Available. Released 2020,April 17",107.9 x 55 x 18 mm (4.25 x 2.17 x 0.71 in),127 g (4.48 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","2.8 inches
174,LG,V60 ThinQ 5G UW,2020,February 26","Available. Released 2020,April 02",169.3 x 77.6 x 8.9 mm (6.67 x 3.06 x 0.35 in),218 g (7.69 oz),Pre-installed Nano-SIM,"P-OLED capacitive touchscreen,16M colors","6.8 inches
175,LG,V60 ThinQ 5G,2020,February 26","Available. Released 2020,March 20",169.3 x 77.6 x 8.9 mm (6.67 x 3.06 x 0.35 in),213 g (Global)/ 218 g (Verizon) (7.51 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","P-OLED capacitive touchscreen,16M colors"
176,LG,Q51,2020,February 25","Available. Released 2020,February 26",164.5 x 77.5 x 8.4 mm (6.48 x 3.05 x 0.33 in),,"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
177,LG,W10 Alpha,2020,February 19","Available. Released 2020,February 19",147.3 x 71 x 8.9 mm (5.80 x 2.80 x 0.35 in),170 g (6.00 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
178,LG,K61,2020,February 18","Available. Released 2020,April 27",164.5 x 77.5 x 8.4 mm (6.48 x 3.05 x 0.33 in),191 g (6.74 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
179,LG,K51S,2020,February 18","Available. Released 2020,April 27",165.2 x 76.7 x 8.3 mm (6.50 x 3.02 x 0.33 in),194.5 g (6.88 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
180,LG,K41S,2020,February 18","Available. Released 2020,April 27",165.8 x 76.5 x 8.3 mm (6.53 x 3.01 x 0.33 in),191.7 g (6.77 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
181,LG,G Pad 5 10.1,2019,October","Available. Released 2019,November",247.2 x 150.7 x 8 mm (9.73 x 5.93 x 0.31 in),498 g (1.10 lb),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","10.1 inches
182,LG,V50S ThinQ 5G,2019,October","Available. Released 2019,October",159.3 x 75.8 x 8.4 mm (6.27 x 2.98 x 0.33 in),192 g (6.77 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
183,LG,G8X ThinQ,2019,September 06","Available. Released 2019,November 01",159.3 x 75.8 x 8.4 mm (6.27 x 2.98 x 0.33 in),192 g (6.77 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","OLED capacitive touchscreen,16M colors"
184,LG,Q70,2019,September 28","Available. Released 2019,October",162.1 x 76.8 x 8.3 mm (6.38 x 3.02 x 0.33 in),198 g (6.98 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
185,LG,K30 (2019),2019,August","Available. Released 2019,September",146.9 x 71.5 x 8.5 mm (5.78 x 2.81 x 0.33 in),148 g (5.22 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
186,LG,K20 (2019),2019,August","Available. Released 2019,September",148.6 x 71.9 x 8.3 mm (5.85 x 2.83 x 0.33 in),152 g (5.36 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
187,LG,K40S,2019,August","Available. Released 2019,September",156.3 x 73.9 x 8.6 mm (6.15 x 2.91 x 0.34 in),186 g (6.56 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
188,LG,K50S,2019,August","Available. Released 2019,September",165.8 x 77.5 x 8.2 mm (6.53 x 3.05 x 0.32 in),194 g (6.84 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
189,LG,W30 Pro,2019,June","Available. Released 2019,October",157.7 x 75.9 x 8.3 mm (6.21 x 2.99 x 0.33 in),172 g (6.07 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
190,LG,W30,2019,June","Available. Released 2019,July",159 x 76.5 x 8.2 mm (6.26 x 3.01 x 0.32 in),175 g (6.17 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
191,LG,W10,2019,June","Available. Released 2019,July",156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),164 g (5.78 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
192,LG,Stylo 5,2019,June","Available. Released 2019,June",160 x 77.7 x 8.4 mm (6.30 x 3.06 x 0.33 in),179 g (6.31 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.2 inches
193,LG,G8S ThinQ,2019,February 24","Available. Released 2019,July 02",155.3 x 76.6 x 8 mm (6.11 x 3.02 x 0.31 in),181 g (6.38 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM,dual stand-by)","G-OLED capacitive touchscreen,16M colors"
194,LG,Q8 (2018),2018,August","Available. Released 2018,August",160.1 x 77.7 x 8.4 mm (6.30 x 3.06 x 0.33 in),172 g (6.07 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
195,LG,X power 3,2018,July","Available. Released 2018,July 16",154.7 x 78.1 x 8.9 mm (6.09 x 3.07 x 0.35 in),171 g (6.03 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","5.5 inches
196,LG,K8 (2018),2018,February","Available. Released 2018,June",146.3 x 73.2 x 8.2 mm (5.76 x 2.88 x 0.32 in),152 g (5.36 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","S-IPS LCD capacitive touchscreen,16M colors"
197,LG,Watch Urbane LTE,2015,March","Available. Released 2015,March",V1,45 g (3G)/ 115 g (LTE) (4.06 oz),Nano-SIM,"P-OLED capacitive touchscreen,16M colors","1.3 inches
198,LG,L20,2014,July. Released 2014,July",Discontinued,105.6 x 64.5 x 13 mm (4.16 x 2.54 x 0.51 in),,Mini-SIM,Capacitive touchscreen,"3.0 inches,27.9 cm (~40.9% screen-to-body ratio)"
199,LG,KM338,2008,February. Released 2008",Discontinued,108 x 46 x 12.9 mm (4.25 x 1.81 x 0.51 in),,Mini-SIM,"TFT,256K colors","2.0 inches,12.4 cm (~24.9% screen-to-body ratio)"
200,LG,U890,2006,February",Discontinued,"98.8 x 49 x 18.2 mm,80 cc (3.89 x 1.93 x 0.72 in)",99 g (3.49 oz),Mini-SIM,"TFT,256K colors","2.2 inches
201,LG,P7200,2005,August",Discontinued,96 x 50 x 17 mm (3.78 x 1.97 x 0.67 in),112 g (3.95 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
202,LG,B2050,2005,Q3",Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),72 g (2.54 oz),Mini-SIM,"CSN,65K colors","1.5 inches,7.3 cm (~15.7% screen-to-body ratio)"
203,LG,M4410,2005,Q1",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),107 g (3.77 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
204,LG,M4330,2005,Q2",Cancelled,V1,110 g (3.88 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
205,LG,M4300,2005,Q1",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),110 g (3.88 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
206,LG,F3000,2005,Q3",Discontinued,88 x 47 x 23.9 mm (3.46 x 1.85 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
207,LG,F2410,2005,Q2",Discontinued,88 x 45 x 23.9 mm (3.46 x 1.77 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
208,LG,F2250,2005,Q3",Discontinued,87 x 45 x 23 mm (3.43 x 1.77 x 0.91 in),90 g (3.17 oz),Mini-SIM,"CSTN,65K colors",,128 x 160 pixels
209,LG,U8290,2006,Q2",Discontinued,89.5 x 47.5 x 24.5 mm (3.52 x 1.87 x 0.96 in),125 g (4.41 oz),Mini-SIM,"TFT,65K colors",,176 x 220 pixels
210,LG,U8210,2005,Q1",Discontinued,89.8 x 47.7 x 24.8 mm (3.54 x 1.88 x 0.98 in),115 g (4.06 oz),Mini-SIM,"TFT,256K colors",,176 x 220 pixels
211,LG,U8200,2005,Q1",Discontinued,89.5 x 47.5 x 24.5 mm (3.52 x 1.87 x 0.96 in),125 g (4.41 oz),Mini-SIM,"TFT,65K colors",,176 x 220 pixels
212,LG,B2150,2005,Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN,65K colors","1.6 inches,8.3 cm (~17.9% screen-to-body ratio)","128 x 128 pixels
213,LG,B2100,2005,Q2",Discontinued,103 x 43 x 16 mm (4.06 x 1.69 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN,65K colors","1.5 inches,7.3 cm (~16.4% screen-to-body ratio)"
214,LG,B2000,2005,Q1",Discontinued,104 x 43 x 15.9 mm (4.09 x 1.69 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN,65K colors","1.5 inches,7.3 cm (~16.2% screen-to-body ratio)"
215,LG,F2400,2005,Q2",Discontinued,86 x 44 x 23 mm (3.39 x 1.73 x 0.91 in),85 g (3.00 oz),Mini-SIM,"TFT,65K colors",,"128 x 160 pixels
216,LG,F1200,2005,Q1",Discontinued,95 x 49 x 24 mm (3.74 x 1.93 x 0.94 in),101 g (3.56 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
217,LG,F7250,2004,Q4",Discontinued,98 x 49 x 25 mm (3.86 x 1.93 x 0.98 in),115 g (4.06 oz),Mini-SIM,"TFT,65K colors","1.9 inches,11.4 cm (~23.7% screen-to-body ratio)"
218,LG,C2100,2005,Q1",Discontinued,88 x 47 x 24 mm (3.46 x 1.85 x 0.94 in),90 g (3.17 oz),Mini-SIM,"CSTN,65K colors",,128 x 160 pixels
219,LG,G1800,2004,Q4",Discontinued,99 x 45 x 17 mm (3.90 x 1.77 x 0.67 in),78 g (2.75 oz),Mini-SIM,"STN,256K colors","1.6 inches,8.3 cm (~18.5% screen-to-body ratio)"
220,LG,G1610,2005,Q1",Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83 g (2.93 oz),Mini-SIM,"STN,65K colors","1.5 inches,7.3 cm (~15.9% screen-to-body ratio)"
221,LG,G1700,2004,Q4",Discontinued,101 x 44 x 22 mm (3.98 x 1.73 x 0.87 in),80 g (2.82 oz),Mini-SIM,"STN,4096 colors","1.6 inches,8.3 cm (~18.6% screen-to-body ratio)"
222,LG,F2300,2005,Q1",Discontinued,88 x 46 x 24 mm (3.46 x 1.81 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT,65K colors",,"128 x 160 pixels
223,LG,F2100,2004,Q3",Discontinued,90 x 47 x 23 mm (3.54 x 1.85 x 0.91 in),90 g (3.17 oz),Mini-SIM,"TFT,256K colors",,"128 x 160 pixels
224,LG,L3100,2004,Q2",Discontinued,105 x 44 x 18 mm (4.13 x 1.73 x 0.71 in),87 g (3.07 oz),Mini-SIM,"TFT,65K colors",,128 x 160 pixels
225,LG,C1200,2004,Q1",Discontinued,82 x 45 x 22 mm (3.23 x 1.77 x 0.87 in),81 g (2.86 oz),Mini-SIM,"STN,65K colors",,128 x 160 pixels
226,LG,G1600,2004,Q2",Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83 g (2.93 oz),Mini-SIM,"STN,65K colors",,"128 x 128 pixels
